1 1191255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
00000000ae9f94c9dc3a175c58a277284b8a0f234594cfd363db06ec846483d1
000000007a2b94b8374bcedbcc847e3303fb8329df4632fa77d3b87e6409ad66

5 2518338876
237 176 28
42 29 37
165 7 9
238 145 43
121 217 47
19 79 10
72 110 45
178 130 25
147 114 10
93 170 27
137 56 14
246 9 28
210 138 17
61 210 31
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
000000007a2b94b8374bcedbcc847e3303fb8329df4632fa77d3b87e6409ad66
00000000dcc5db5b38746386f0240c5b8cd2fb2ea1f3ef9c5258358babd30120

6 3498271181
87 157 15
195 189 28
138 34 36
166 230 14
87 214 16
23 213 40
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
00000000dcc5db5b38746386f0240c5b8cd2fb2ea1f3ef9c5258358babd30120
000000000303fde403ecc14f7064dcb4af9cabf2ce30061fe4762e2fc00f929b

7 1460938215
211 5 39
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
000000000303fde403ecc14f7064dcb4af9cabf2ce30061fe4762e2fc00f929b
00000000553efbbe9c1081b9a31538fcf9c0e3ef04a61426e7e48ea9560878be

8 54701288
63 48 31
48 76 34
44 6 25
39 181 7
148 48 25
156 13 37
40 210 17
118 151 22
3 65 39
58 103 38
173 28 11
98 216 11
188 40 30
165 57 33
23 75 16
138 225 33
230 120 3
40 146 36
166 191 43
16 213 33
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
00000000553efbbe9c1081b9a31538fcf9c0e3ef04a61426e7e48ea9560878be
00000000d8de3d725d24d81921b6340e1d28a3518e9a7d9db0b4c36f0f25fd21

9 456957827
48 86 35
15 145 33
106 67 10
167 76 29
146 206 46
33 231 5
208 122 16
241 72 16
68 191 8
96 139 48
9 177 48
54 87 38
177 25 20
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
00000000d8de3d725d24d81921b6340e1d28a3518e9a7d9db0b4c36f0f25fd21
000000003c52b6a0e691ff2389ec60d80730c0f94b5592f66d6bbd9a68b880ef

10 3543822397
10 156 31
162 15 38
138 119 34
78 112 17
44 166 29
232 178 8
2 223 6
102 219 39
16 210 46
53 170 6
225 155 8
2 41 2
93 79 38
227 51 39
69 224 28
254 129 36
26 156 41
207 231 26
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
000000003c52b6a0e691ff2389ec60d80730c0f94b5592f66d6bbd9a68b880ef
0000000074783ef309086269fce86515e05b60e774a9e4ed3c13fc3b156cded5

11 2341298676
98 53 49
25 154 32
98 105 15
90 13 39
51 68 7
109 192 28
78 121 37
235 32 33
59 168 43
246 237 29
125 153 11
253 203 21
64 190 20
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0000000074783ef309086269fce86515e05b60e774a9e4ed3c13fc3b156cded5
00000000c7b4a5006bb2f6f18f0c908bdf860d08d221bc9e0e8aa118fe181dda

12 885338220
238 211 42
0 75 39
6 60 26
58 135 25
211 227 10
42 4 28
179 169 6
134 54 25
89 14 45
129 51 30
253 127 12
16 152 46
135 51 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
00000000c7b4a5006bb2f6f18f0c908bdf860d08d221bc9e0e8aa118fe181dda
000000009abe76f3603c779bdd69cbfb2e8c2000000000000000000000000000

13 1231181958
103 43 39
79 150 12
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
000000009abe76f3603c779bdd69cbfb2e8c2000000000000000000000000000
000000007eff80f00a6bcb00fedefdab27aef705cdc5566a64acddde799ab905

14 1259605531
175 37 41
88 241 11
169 29 49
66 108 34
162 82 14
220 149 13
115 6 49
0 191 20
220 192 39
103 136 33
229 97 25
193 88 37
59 26 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
000000007eff80f00a6bcb00fedefdab27aef705cdc5566a64acddde799ab905
00000000bda311815b2bdb8f6b84e5f107200000000000000000000000000000

15 1379874215
119 233 16
176 198 39
204 49 4
175 69 3
203 242 33
34 39 8
80 128 18
218 61 11
92 221 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
00000000bda311815b2bdb8f6b84e5f107200000000000000000000000000000
00000000d3ac07fef7bd04447937d1051825b0e8d48dfd584a56df774a56e51d

